name,the_geom
Citroën Garage Clas,POINT (251404.74371752577 6258287.1109211035)
La Remise,POINT (637271.1130546965 5649534.47713404)
Super U,POINT (-39146.59989022059 6082189.045344968)
Garage Renault,POINT (136686.7268255686 6438461.0136938775)
La Galerie Salvaza,POINT (257075.3142768407 5343580.840182591)
Lidl,POINT (856285.0292782625 6200066.094399426)
Degriffstock,POINT (612512.1639660904 5389769.471592124)
Parapharmacie E.Leclerc,POINT (682148.7517183478 6335790.2180841975)
E.Leclerc Drive,POINT (652131.1667418713 5329422.82841979)
Carrefour Contact,POINT (638040.542711591 6360241.423280884)
Centre Commercial Villebon 2,POINT (250847.10293154203 6224825.405083019)
Citroën,POINT (259802.76305004492 6267586.4577062)
Brico Dépôt,POINT (261104.09410444522 6266153.882809779)
Grand Frais,POINT (320771.044309832 6263667.089938677)
Carré d'Or,POINT (327426.51927428105 5266718.1248600455)
U Express,POINT (224153.68141124942 6195375.43489348)
Aushopping Promenades de Brétigny,POINT (256311.927931826 6204573.211488272)
Centre Commercial du Roudour,POINT (-399038.17027783545 6193080.438787128)
Chantonnay Automobiles,POINT (-116898.16523803299 5890136.358329242)
BP,POINT (305561.77978721116 6516634.823902362)
Carrefour,POINT (367742.2336279511 6138010.986762859)
Eni,POINT (741188.6516622524 6297643.443111737)
BP,POINT (741463.3429362417 6297402.496398986)
Eni,POINT (533007.3061208891 6287086.224680969)
parquet-carrelage.com,POINT (281052.32699021755 6244683.830230241)
Repair Glass,POINT (281071.30581127154 6244719.722801832)
The Phone Store,POINT (258241.65789907167 6247994.528048403)
Centre d'Intérêt Public,POINT (173739.7902984965 5391128.729323082)
U Express,POINT (69728.81510219965 5495908.6770546725)
Les Jardins d’Imbermais,POINT (152095.59431992588 6219838.469113857)
Mad'o Delicatessen,POINT (152206.41495186664 6230162.219931157)
Normal,POINT (263911.2368860592 6233532.181429543)
Chez l'Anondor,POINT (362597.59988747776 6557777.084294434)
Gamm Vert,POINT (655419.052463347 5664943.441885762)
Sport 2000,POINT (655374.7871957616 5664977.63509736)
Centre Commercial La Cascade,POINT (682867.2005247987 6224089.535947354)
Super U,POINT (295595.3872207512 6238175.522544592)
Eurelec Distribution,POINT (283811.0962323091 6247023.523741571)
,POINT (283220.2096587174 6247015.18226583)
E.Leclerc,POINT (150208.68071535215 6230421.05229379)
L'Escale,POINT (721411.6488960134 6140238.284280738)
Armurerie Lavaux,POINT (635195.9864792132 6168017.439808166)
,POINT (-13471.608135124467 6136790.390475245)
Renault Dacia Mérignac,POINT (-74092.22100300185 5599156.669119916)
,POINT (727499.0222512843 5349753.362813127)
La Foux,POINT (732477.0816086301 5351981.158336007)
Intermarché Hyper,POINT (600585.7233409325 5351594.391944446)
Auchan,POINT (749570.8289718174 5376789.77742042)
E.Leclerc Drive,POINT (29498.882999624944 6299015.879561834)
RESOTAINER Clermont-l'Hérault,POINT (386468.8642213326 5404790.231944291)
Super U,POINT (-193775.56636132064 6198377.97307609)
Decathlon,POINT (637143.726441577 5650512.459392622)
Weldom,POINT (-306628.4160746672 6138561.3011779)
Auto Service Guerchais,POINT (-137363.87676455054 6097331.937251828)
Clément,POINT (-135915.55943926604 6101713.713352192)
Coiffure Hair Création,POINT (865700.494347621 6240985.245783308)
Emmaüs,POINT (-453918.83478666656 6106092.019888566)
Avia,POINT (174557.69927818025 5567882.325884142)
Avia,POINT (174613.16561528933 5567781.470837738)
Centre commercial Prado,POINT (600414.1653019482 5353175.3678349145)
Les 3 Fontaines,POINT (231738.54416149476 6281391.755229775)
Le Fleuriat,POINT (155508.1065119573 5381031.11590129)
Les Armoiries,POINT (281798.03914867283 6246006.533878562)
Les Armoiries,POINT (281733.5400609206 6246055.401527219)
Truffaut,POINT (281900.2489605932 6246206.271826899)
Aldi,POINT (230373.7067252132 6282330.451293302)
Tout Faire - AJI MATÉRIAUX,POINT (-171510.71796870156 6102401.259278653)
Intermarché Super,POINT (112766.67731970816 6337048.646392933)
Nuances Terroirs,POINT (-59355.15493533855 6014101.210038449)
Darty,POINT (612147.3280727005 5415509.854378614)
Matériaux SIMC,POINT (612220.7876978208 5415547.668521687)
Botanic - Pépinières de Bavent,POINT (-32136.305115858613 6314926.937643439)
Gamm Vert,POINT (506173.73057577095 6006809.435719804)
Aldi,POINT (745467.9301610108 6307140.112047852)
T D Auto,POINT (154037.6361190976 6045437.541291633)
Camping-Car Jacqueline Rouen,POINT (134885.8166290449 6341051.54743765)
Intersport,POINT (-328381.1123477933 6116035.509990599)
La Gourmandise,POINT (577542.2929242477 5367706.837539383)
Intermarché,POINT (688318.3679735062 5357684.3336852975)
Eric Autos,POINT (82489.43525533352 6381063.301934502)
Centre commercial Nîmes-Ouest,POINT (482709.73529645626 5438317.294906313)
,POINT (283248.01920787 6246438.81316091)
Pièces Auto,POINT (276193.3013476511 6321023.143630349)
Rapid'Pneus,POINT (276204.0846277415 6320922.10270701)
Intermarché,POINT (116324.7577129798 6392346.464237598)
Total,POINT (-336285.7399811958 6085689.609540894)
Autohero,POINT (273258.83966374135 6318859.843684759)
Match,POINT (849792.7508556097 6266920.869765841)
,POINT (697543.3387792889 6203193.3759976365)
Aux Délices du Sud,POINT (385733.9315634089 5360137.312975275)
,POINT (19386.16345182187 6114128.962783194)
Espace Xavier Marmier,POINT (668722.1928888813 5981603.357967515)
E.Leclerc Drive,POINT (189222.1346852645 6271969.538686936)
Le Marais de la Vallée de la Druyes,POINT (384770.61455892475 6030029.539937042)
ALDI,POINT (650434.042865873 5444654.377126395)
Centre Commercial du Mail,POINT (242927.13303326763 6238407.805199784)
Intermarché,POINT (302928.3916199649 6524548.998339884)
Les Jardins du Louvre-Lens,POINT (310680.64926386566 6523847.985316018)
Crozatier,POINT (153901.29635085553 5471258.741478907)
Zeeman,POINT (295650.3564787027 6237798.006317271)
Action,POINT (295665.4589943533 6237752.629576914)
,POINT (256171.57035004447 6251966.362058029)
Lidl,POINT (275000.6167314684 6320983.828092298)
Café Presse,POINT (543095.1702644045 5739254.94394495)
CDJ Auto,POINT (266140.3453148064 6210478.372339825)
,POINT (275950.38408141263 6318483.517780286)
Relax Creil,POINT (275948.499029177 6318474.201048992)
Esso,POINT (275644.20011784433 6317413.6386664435)
Centrakor,POINT (-167029.12569613042 6144447.720887149)
Hublot mode marine,POINT (253322.49489603698 5395899.249836998)
La Boutique du Coiffeur,POINT (258261.81490778344 6248001.485091032)
Roc-Eclerc,POINT (274212.6419018111 6320081.660725798)
Vapostore,POINT (258295.91267060436 6247916.737775828)
Relay,POINT (258250.07443431302 6247962.891084336)
Mango,POINT (258325.4466982713 6247910.463302845)
Normal,POINT (258350.04830773931 6247905.228720664)
Fnac,POINT (258371.5170334778 6247917.032219659)
Monop',POINT (258373.2314291645 6247879.994628324)
Fauchon,POINT (258254.02277048604 6247946.729390265)
Calzedonia,POINT (258264.54788869177 6247938.852960449)
Waterdrop,POINT (258243.45270202862 6247949.440964879)
Lovisa,POINT (258222.0335115174 6247971.802266605)
Relay,POINT (258182.71108628574 6247979.260426618)
Yves Rocher,POINT (258277.46830024515 6248000.281207881)
Palais des Thés,POINT (258353.9615261573 6247937.829016247)
